GOOD RESULT:






ERROR POSSIBILITIES:

||  ERROR CODE  ||  REASON                                          ||  WILL PROGRESS?                              || IF THIS HAPPENS NOTIFY DEV?
||              ||                                                  ||                                              ||
||      -1      ||  INITIAL INPUT is different than -1 or -2        ||  NO                                          || NOPE
||      -2      ||  Density values are outside boundaries           ||  YES ---> Density set to max/min limit       || YES
||      -3      ||  Density has gone below the reference value      ||  YES ---> Density Error in absolute value    || NOPE
||      -4      ||  Color values are outside boundaries             ||  YES ---> Color set to max/min limit         || YES
||      -5      ||  Color has gone above reference value            ||  YES ---> Color Error in absolute value      || NOPE
||      -6      ||  Temperature values are outside boundaries       ||  YES ---> Temperature set to max/min limit   || YES
||      -7      ||  Time has gone above imposed limit               ||  YES ---> Time set to max value              || NOPE
||      -8      ||  Tanins values are outside boundaries            ||  YES ---> Tanins set to max/min values       || YES
||      -9      ||  Tanins have gone above reference value          ||  YES ---> Tanins Error in absolute value     || NOPE
||      -1      ||  Tanins values are outside boundaries            ||  YES ---> Set time to max limit              || NOPE
||      -1      ||  Tanins values are outside boundaries            ||  YES ---> Set time to max limit              || NOPE
